,cluster,caption
0,0,"a man walking down the street with his baby in a stroller. a man in a hat and shorts walking down a sidewalk. the beach volleyball tournament in Pisa. yellow flowers in the forest. a road in the woods. a man flying a kite. a car with stuffed animals in the front seat. the parking lot at the stadium. a beach house with a path leading to it. the beach in the city of Pisa. a couple relaxing on the beach. two people sitting on the beach. two men on a beach. umbrellas on the beach. a family walking on the street. a man's bare feet on the sand. a concrete bench in the woods. the beach in Pisa. people on the beach in the summer. a white wall with holes. people swimming in the sea. a man walking down the street with a star on top of his head. people at the beach. a man with tattoos on his arm. a woman sunbathing on the beach in Pisa, italy, on june. people at the beach. a beach house in the sun. a woman walking down a street in Pisa. people swimming in the sea. a white painted wall. the statue of the angel of the vatican. people on the beach. people swimming in the sea. people on the beach. a lighthouse in the ocean with waves crashing over it. people swimming in the sea. waves crashing on the rocks. a person looking through a hole in a wall"
1,1,the team of people in orange shirts. the lego world cup. the team of volunteers at the event. the team at the event. the team at the robotica event. the lego world cup. a lego table with many lego items. lego city with people on bikes. the event of the orange and black. San Giuliano Terme at the lego world convention. lego city with people and cars. the team at the end of the event. the team at the event. the team at the event. San Giuliano Terme with people and trees. a tree in the field. the lego world cup. a lego team lug event. the lego city exhibition. the lego exhibition in the city of San Giuliano Terme. the event. a lego train and a train track. a lego model train on display. San Giuliano Terme with people and animals. San Giuliano Terme in the . a lego train track and a train. lego people in a train station. San Giuliano Terme. San Giuliano Terme. lego city with people and cars. lego city with people and cars. San Giuliano Terme in . San Giuliano Terme at the lego world convention. lego city with people and cars. a San Giuliano Terme police station. a lego city on a table. a lego city with a sign that says orange team San Giuliano Terme. the event. the lego orange team lug. a lego building with a window. the event. a lego city set. San Giuliano Terme. San Giuliano Terme in the . the lego city set. lego city with people and cars. San Giuliano Terme. people at an event. a lego city with people and buildings. the crowd at the event. people at an event. the lego city event. lego building at a convention. the lego exhibition. a man and a child in front of a star wars display. the lego space station. the event. the crowd at the event. a man posing with a mandalorian. the event. the exhibition of the star wars at the fair. the event. the event. the lego space shuttle. the crowd at the event. people in a tent with orange tablecloths. the event. the event. the event. people in a tent with tables and chairs. the event. the bavarian beer festival. the event. the crowd at the festival. the event. the lego train set exhibition
2,2,"the city of Lucca at dusk. a fish on a plate. the sunset in Lucca. a view of a mountain and cars. a house in the countryside. the moon over the village of Lucca. the sunset in Lucca. the christmas tree in the city of Lucca. the statue of mary in the town square. the sunset from the window of a house. a narrow street in Lucca. the church of the saint of the dead in the village of Lucca. a street with a mountain in the background. the sunset in the countryside. the hotel in the evening. a house with mountains in the background. a view of a green field and trees. a view of a small town in the mountains. a chandelier hanging from a ceiling. a window with a curtain. a restaurant at night. the view from an airplane window. a car parked on the side of the road. the view from the street. a street in the evening. a view of the mountains and houses. a street with a mountain in the background. Lucca. a street lined with trees. a lobster pasta dish. a croissant and cheese on a plate. bread in a basket. a book shelf with two books on it. the view from the top of a hill. the hotel in the town of Lucca. a house in the countryside. the city of San Giuliano Terme, . a street in the countryside. the mountains in the background. a house with a mountain in the background. a house in the countryside. the town of Lucca. a street sign. a street. a house in San Giuliano Terme"
3,3,"the river piave in Pisa, . a baby's head on a pedestal. a sculpture of a baby in front of a church. a sculpture of a baby in front of a church. the facade of the church of Pisa in , . the church of santa maria in Pisa. the church of santa maria in Pisa. the church of santa maria in Pisa. the church of the baptistery of the baptistery of the baptistery of the. the river ponte Vecchio in Pisa, . the river ponte Vecchio in Pisa, . a woman and her dogs. a river in Pisa. the river ponte Vecchio in Pisa, . a building with a clock tower. the river ponte della valle in Pisa. the leaning tower of pisa. a church in the city of Pisa. the statue of the lion in the city of Pisa. the river at night in Pisa. the river piave in Pisa. the church of the person in Pisa. the city of Pisa, . a woman walking on a street. the river piave in Pisa, . the city of Pisa. the city of Pisa, . a cappuccino and a pastry. the river piave in Pisa, . the sunset over the river in Pisa, italy. the church of santa maria in Pisa. the cathedral of san gennaro in Pisa. the bridge of vaporetto in Pisa. the church of santa maria in Pisa. a person walking in front of a building. the city at night with the river and buildings. the river piave at night. the cathedral of siena, Pisa. the church of santa maria in Pisa. the church of sant'anastasia in Pisa, . the cathedral of san gennaro in Pisa. the river ponte Vecchio in Pisa, . a graffiti covered vending machine. a church with blue lights. the wall of the church of san marco in Pisa. a wall with a statue on it. the river piave in Pisa. people walking on a bridge. the church of santa maria in Pisa. the river ponte Vecchio in Pisa, . a graffiti on a bridge. the city of Pisa at night. the cathedral of siena, Pisa. the river vuoto in Pisa, . the cathedral of siena, Pisa. a church with statues on the roof. the facade of the cathedral of san marco. a narrow street in Pisa. the church of san giovanni in Pisa. the river vuoto in Pisa, . the river nero in Pisa, . the buildings along the river in Pisa. the river ponte Vecchio in Pisa, . the bridge of bologna, Pisa. the river at night. the river at night. the city of Pisa, . the river ponte Vecchio in Pisa, . the cathedral of siena. the cathedral of siena. the city of Pisa, . the cathedral of siena at night. the city of Pisa, . the river piave in Pisa, . the gothic building in the city of Pisa. the city of Pisa, . a church on a cloudy day"
4,4,a pond with grass and trees. a couple walking down a path lined with trees. a girl in a blue dress sitting in the grass. a road with trees and grass. a moving van on a road. a woman standing in the woods. a woman in the forest. the moon and a puddle in the road. a fox in the wild. a woman in a white shirt and jeans. a fallen tree in a swamp. two cosplayers in the woods. two girls in school uniforms. two women dressed in blue and orange. the dark forest. a woman sitting on a fallen tree. a sunset with cranes in the background. a construction site at sunset. a woman sitting on a fallen tree. a girl in a blue dress. a girl in a blue dress. two girls in anime costumes. the moon and the sky over a park. the sunset over the park. a road with trees and grass. two girls in school uniform. a woman standing on a fallen tree. a deer antler on the ground. a small plant growing on a tree. a fox in the field. a dirt road in the woods. the marsh at the north end of the lake. a deer in the woods. a woman standing in a forest. a fox in the grass. a woman sitting on a fallen tree. a fallen tree in the middle of a field. a road lined with trees. a girl sitting on a log in the woods
5,5,"a deer in the grass. a group of people playing frisbee in a yard. the water play in the camp. a church in the countryside. the church of Pisa in , . the group of people playing frisbee. people eating at a picnic table. a group of people playing soccer. the group of men at the pool. the group of people at the table. a plate of food. the people sitting at tables in an outdoor area. a group of people gathered around a table. the event of the ""festival of the sun"" in the village of Pisa. the participants of the summer camp. people eating at a picnic table. the participants of the first day of the camp. the event. the group of people in orange shirts. the people at the event. the group of people at the table. the group of people in orange shirts. the group of people in front of a barn. the group of people in front of a barn. the event. the group of people in front of a barn. people sitting at a table with pizza. the group of people at the picnic. the group of people in orange shirts. the group of people in orange shirts. the group of people in orange shirts. the group of people in orange shirts. the group of people in orange shirts. the event. the church of san giovanni in Pisa. a plate of food with french fries and coleslaw. the church of Pisa in Pisa, . an archway in an old building"
6,6,"a yellow tree in the city. the city of Pisa, . a young woman sitting at a table. a small truck parked on the side of the road. the villa in the countryside. the streets of florence. a clock and some cards. a sandwich. the city of Pisa, . a book market in Pisa. a book market in Pisa. a street in Pisa. a bunch of motorcycle stickers. a clock, a book and a clock face. various items on a table. a clock, a book and a book cover. a woman's face on a concrete block. the city of Pisa, . the city of Pisa in , . a house in the city. a sculpture in the middle of a city. the old town of Pisa, . a table with various items. various items on a table. various items on a table. various items on a table. a clock and some cards. a bunch of cards on a table"
7,7,"the piazza delle stelle in Pisa. the square of the city of Pisa. the church of Pisa in . the palace of the sicilian king person. a building with a clock on it. the facade of the church of the spanish mission in Pisa. the piazza del campo in Pisa. the old town of Pisa, . a building with many windows and statues. the church of st peter in the vatican. the church of st peter in the city of Pisa. the church of the holy cross in Pisa. a coat of arms on a building. a statue of a man in front of a building. the facade of the palace of the sicilian king in Pisa. the facade of the palazzo della signoria in Pisa, . a bust on the side of a building. the facade of the palazzo della signoria in Pisa, . a building with a bust on the side. the building of the museum of art and culture in Pisa. the facade of the palazzo della signoria in Pisa, . the palace of the city of Pisa. a sculpture in a square. a sculpture in front of a building. the church of Pisa in . the piazza del campo in Pisa, . the piazza del campo in Pisa, . the building of the city hall of pisa. the church of st lucia in Pisa. the church of st peter in the vatican. the facade of the palace of sant'andrea in Pisa. a statue of a man in front of a building. the palace of the person in Pisa. a horse drawn carriage. the bell tower of the church of santa maria in Pisa. the palace of the sicilian government in Pisa. the interior of a church. the meeting of the international association of the history of science. the statue of a man in front of a building. the old town of Pisa. the city of Pisa, . the building of the city hall of pisa. the fountain in front of the palace of the city of pisa. a fountain in the city of Pisa. the fountain of the city hall of Pisa, . the fountain in front of the building. the fountain in front of the building. the statue of the king of spain in front of the palace of the king of spain. the city of Pisa, . the piazza del campo in Pisa. the statue of the pope in front of the palazzo della civiltÃ . the church of Pisa in , . a man flying a kite in a square. a building. the italian flag in front of the building. a building with a large sign on it. the piazza del campo in Pisa. the church of the saint of the holy spirit in Pisa, . the facade of the palazzo della signoria in Pisa, . the moon over the city of Pisa. the moon over the church of Pisa in piazza san marco in p. a book market in Pisa. a book seller in front of a building. the fountain in front of the palace. the church of Pisa in , . the fountain in front of the building. the building of the town hall of pisa. a building with a lot of windows. the building of the town hall of pisa. a woman taking a picture of herself. a statue of a man in front of a building. the building of the palace of the sicilian government in Pisa. a building with a clock tower. the square in front of the cathedral in Pisa. the palace of the city of Pisa. the old town of Pisa. the church of santa maria in Pisa. the town hall of pisa. the city of Pisa. the city of Pisa. the building. the facade of the palazzo della signoria, Pisa, . the city of Pisa. the piazza del campo in Pisa, . the building of the city hall of pisa at night. the city of Pisa. the city of Pisa, . the palace of the city of Pisa. the piazza del campo in Pisa, . a building with a sign that says plaza de cavalerÃ­a. the city of Pisa. the church of santa maria in Pisa. the palace of the sicilian king in Pisa. the building of the city hall of pisa, Pisa. the building in the evening. a sculpture in front of a building"
8,8,"a painting with many people on it. a street in the city of Pisa. a painting with many people on it. a street in the city of Pisa. a painting with many different colored people. a mural in Pisa. a woman standing in front of a large mural. the mural by keith haring. the keith haring mural in Pisa. a pastry and coffee. a colorful mural on a building. a mural on the side of a building. a mural on the side of a building. a pastry and coffee. the mural in the church of the saint of the city of pisa. a table with three plates of food. a table with two plates of food. a table with a sandwich and a cup of coffee. a woman and her dog looking at a large mural. the sign in front of the building. the statue of the general of the army in the city of Pisa. a restaurant with a bicycle in the background. a man in a cafe. the leaning tower of pisa. a mural in Pisa. ovs clothing store in Pisa. a graffiti on a wall. the mural in the city of Pisa, . the ceiling of the Pisa transit authority's Pisa transit authority's new. a painting with many people on it. a woman walking in front of a large mural. a street in a city. a street in the city of Pisa. graffiti on a wall. a man in sunglasses and a red shirt. the interior of the train station. a mural on the side of a building. a black and white drawing of people. a building. a box sitting on top of a desk. the door of the church of the sainte-claire. the university of milan. the building of the school. the statue of the famous italian general, general aldo moro. the statue of the general of the army of the king of spain. a restaurant with people sitting at tables. the christmas market in Pisa, Pisa,. the leaning tower of pisa. a pirate flag flying in the wind. the city of Pisa, . the market in the city of Pisa. the city of Pisa at dusk. the christmas market in the city of Pisa. the people watching the football match. a man sitting at a table in a restaurant. risotto in a white bowl. a street in Pisa. the christmas market in Pisa. the streets of florence. a mural on the side of a building. a woman with a dog on a wall. a carousel in the city square. a building with a large mural of people. a marble altar in a museum. two people walking down a street. the leaning tower of pisa. a bus. the leaning tower of pisa with hot air balloons. a mural on the side of a building. a painting with many people on it. two men in front of a mural. a painting with many people on it. a woman posing in front of a colorful wall. a mural on the side of a building. keith haring in his studio in Pisa. keith haring and his wife. keith haring and his wife, karen, in front of the keith haring. a painting with many people on it. a woman in a floral dress and sunglasses. a woman in front of a mural. a woman standing in front of a colorful wall. a sculpture in a plaza. a woman posing in front of a colorful mural. Pisa graffiti wall. a man in front of a graffiti wall. keith haring's mural in the wall of the gallery. Pisa graffiti wall. keith haring's graffiti in the city of Pisa. a building in the city of Pisa. the keith haring mural in the city of Pisa, . a mural on the side of a building. a mural on the side of a building. a mural with many different people. a mural on the side of a building. the statue of the general of the army of italy. a statue of a man in front of a building. a statue of a man in a suit. a street lamp with three lights. the church of santa maria in Pisa. a mural with people and a television. a large mural of people. a painting. a painting with scissors and a heart. the sign of tuomondo keith haring. a mural on a building. a painting with many different animals. a painting with a man and a woman. a painting with people on it. a building with balconies and windows. a woman in a floral dress and sunglasses. the house of the poet and philosopher, kostas kostas. a restaurant with red walls and white table cloths. a dinner table with plates of food. two men in front of a graffiti wall. the leaning tower of pisa. a plate of food. a plate of food with dipping sauces. a red wall with a mirror and pictures. the market in Pisa. a woman sitting at a table with food. the market in Pisa. the map of paris. a map on the wall of a building. the map of paris. the art burger restaurant in tel aviv. two men in front of a graffiti wall. a church in the middle of a town. a building in the city. the kennedy center for the arts in Pisa, . a painting with many people on it. a painting with many different animals. a carousel in the city. a painting with people and animals. a painting. a painting with people and objects. the mural by keith haring. a mural on the side of a building. a painting with many people on it. a painting with people on it. a painting with people and animals. a mural with a man and a woman. a mural by keith haring. a man standing in front of a mural"
9,9,"a train at a train station. a train at a train station. two trains on the tracks. a train at a train station. a train at a train station. a train at a train station. a train at a train station. a train at a train station. a train at a train station. a train at a train station. a train at a train station. the train station in Pisa. a train station. a train at a train station. a train station. the sky over the train station. a train on the tracks. a train station. a train station. a train station. a train station. a train station. a train on the tracks. a train that is on the tracks. a train station. a train on the tracks. a train on the tracks. a document with a qr code. a train at a station. a train at a train station. a train station with a red, yellow and orange striped platform"
