,cluster,caption
0,0,a black and white photo of a man bending over. a group of cheerleaders performing in the air. a group of people on stage with a man in the middle. a group of people on stage in black and white. a group of dancers performing on stage. a man in black and white walking with a long stick. a man in a costume is juggling on a stage. a man in a blue suit is holding a red ball. a man in a hoodie is holding a frisbee. a person in a blue suit is performing on stage. two women performing aerial acrobatics on a bed. a man in a blue suit holding a stick. two women performing acrobatics on a pole. a woman in a black and white photo is flying
1,1,a bridge over a river with a flag on it. the castle of the person. a castle with a tower and a bridge. a bridge over a river with a castle in the background. a duck standing on the grass in a park. a bridge over a river in a city. a castle with a pond in the middle of it. a canal in the middle of a park. a bridge over a river with a clock tower in the background. a large building with a grassy area in front of it. a sculpture of a cone in a town square. a statue of people at a well with a bench. a building with a clock tower and a clock on it. a building with a clock tower and a red roof. the castle of heidelberg
2,2,a train traveling down the tracks in a rural area. a red and white train on the tracks. a white train traveling down the tracks. a red and blue train on the tracks. a train traveling down the tracks. people walking in front of a building at night. a train traveling down the tracks near a factory. a train traveling down the tracks in a rural area. a white and red train on the tracks. a train on the tracks. a red and blue train traveling down the tracks. a red and blue train traveling down the tracks. a train on the tracks with a few cars. a white and red train traveling down the tracks. a train is on the tracks. a sticker on a pole with a bicycle on it. a red train on the tracks
3,3,"a large white airplane on a runway at an airport. a large passenger jet flying in the sky. a lufthansa airbus a320-200 nr 6098 at the. a large passenger jet on the runway at an airport. a large airplane on the runway at an airport. an asiana airlines boeing 747-8f at the airport. an air asia plane on the runway at an airport. a large commercial airplane on the runway at an airport. a large blue and yellow airplane on the runway. vietnam airlines boeing 787-9-vn-vn-v. a large passenger jet flying through the air. star alliance - airbus a320-2142-2bw - lufthans. thai airlines boeing 787-9-2-thai-airways-. a large passenger jet flying in the sky. portugal airways a320-200. a large jetliner flying in the sky with its landing gear down. a white and green airplane on the runway. a large airplane with the word aerolite on it. nouvelair airbus a320-2142-2-nouvelair-. a lufthansa airplane on the runway at an airport. a lufthansa airplane on the runway at an airport. a lufthansa airplane on the runway at an airport. a lufthansa airplane on the runway at an airport. a finnair plane flying in the sky. a large jet airplane on the runway. air canada boeing 787-9. a large passenger jet flying through the air. a lufthansa airplane on the runway at an airport. a star wars plane on the tarmac at an airport. a white and blue airplane on a runway. Frankfurt boeing 747-400. a lufthansa airplane on the runway at an airport. cathay pacific boeing 787-9. a star alliance airplane on the runway at an airport. a large passenger jet on the runway at an airport. a finnair plane flying in the sky. a finnair plane flying in the sky. an airbus a320-200 of austrian airlines. a lufthansa airplane on the runway at an airport. a lufthansa airplane on the runway at an airport. a large passenger jet taking off from an airport runway. swiss airways to cut up to 1,000 jobs. a swiss air plane on the runway at an airport. united airlines boeing 787-9-8-2-2-2-2. a large commercial airplane on the runway. a large airplane with the word gondor on it. a blue and white airplane on the runway. a blue and white airplane on the runway. a lufthansa airbus a320-200. lufthansa airbus a320-214. icelandair boeing 737-800. a white and blue airplane on a runway. a large jetliner on the runway at an airport. a large white and blue airplane on the runway. a lufthansa airbus a320-200 at luftwaffe air. flights from Frankfurt to . a large passenger jet on the runway at an airport. croatia airways a320-200. a lufthansa airbus a320-200. a lufthansa jet taking off from an airport runway. a lufthansa airplane on the runway at an airport. a lufthansa airplane on the runway at an airport. a red and white airplane on the runway at an airport. a lufthansa airbus a320-200. a large jet airplane on the runway at an airport. a large airplane sitting on the runway at an airport. united airlines boeing 767-300. a white and blue airplane on the runway. a lufthansa airplane on the runway at an airport. a lebanese airbus a320-200 at the airport in Frankfurt. a lufthansa jet on the runway at the airport. a large passenger jet on the runway at an airport. a large white and purple airplane on the runway. a green and white airplane flying in the sky. united airlines boeing 787-9. united airlines boeing 787-9-8-2-2-2-2. singapore airlines a380-800. a large jetliner flying in the sky. a large passenger jet flying through the air. an american airlines airplane flying in the sky. an american airlines plane flying in the sky. an emirates airplane on the runway at an airport. a large passenger jet flying through the air. a large passenger jet flying through the air. a lufthansa airplane on the runway at an airport. a lufthansa jet on the runway at the airport. a large jet airplane on the runway at an airport. a green and white airplane on the runway. cathay pacific airlines boeing 777-300ER. a large passenger jet taking off from an airport runway. a lufthansa airplane on the runway at an airport. a lufthansa airplane on the runway at an airport. turkish airlines a330-300 nr 909 at Frankfurt Frankfurt Frankfurt l. a large jetliner on the runway at an airport. croatia airways a320-200. turkish airlines a330-300. a large passenger jet on the runway at an airport. a large jetliner flying in the sky with its landing gear down. a large airplane with a yellow and white stripe. a lufthansa cargo plane on the runway at an airport. british airways to cut up to 1,000 jobs. a british airways plane on the runway at an airport. a white and red airplane on the runway. a lufthansa airbus a320-200. a white and purple airplane on the runway. a lufthansa airplane on the runway at an airport. a delta airplane flying through the air. a large airplane with a large group of people on it. an airbus a320-200 of air asian airlines. a lufthansa airplane on the runway at an airport. qatar airways boeing 787-9. a large passenger jet with the flag of Frankfurt on it. a large jetliner on the runway at an airport. a qatar airlines airplane flying through the air. a large passenger jet on the runway at an airport. an algerian airbus a320-212. a large airplane flying in the sky. a large passenger jet on the runway at an airport. a plane flying in the sky. a Kelsterbach airplane parked on the tarmac. a lufthansa airplane on the runway at an airport. a black and white photo of a jet flying over a tree. a large airplane flying in the sky with its landing gear down. a large passenger jet sitting on the runway. a large airplane with a striped design on it. a large airplane flying in the sky. a large passenger jet with a yellow and white stripe on it. a large passenger jet flying through a cloudy sky. a large passenger jet flying in the sky. a large jet airplane flying in the sky. a korean air plane flying in the sky. a large jet airplane flying in the sky. a large jetliner flying in the dark sky. a green and white airplane on the runway. a black and white photo of a snowy road. a large passenger jet flying through the air. a lufthansa airplane flying in the sky with clouds in the background. two trees are reflected in a lake at dusk. a red and white airplane flying in the sky. a large passenger jet flying in the sky. a large jetliner flying in the sky with its landing gear down. a large passenger jet flying in the sky. an airbus a330-300 boeing 757-200. a lufthansa airplane flying in the sky. a lufthansa airplane taking off from an airport. a large white and black airplane flying through the air. a small white and black jet airplane flying in the sky. a large airplane flying through the air with its landing gear down. an all nippon airways boeing 767-300 boeing 767. a large commercial jet flying in the sky. a large passenger jet on the runway at an airport. an air china airplane flying in the blue sky. china airlines boeing 777-300. a large jetliner flying in the air. a large jetliner flying in the sky. a large military plane flying in the sky. a large jetliner flying in the sky with its landing gear down. an air cargo plane flying in the sky. united airlines boeing 787-9. a white and blue airplane flying in a clear blue sky. a large jetliner flying in the sky with its landing gear down. a lufthansa airbus a320-214 at   . a large passenger jet flying in a blue sky. aeroligic is a french airline that operates a fleet of. a lufthansa airbus a320-214 at   . a large commercial airplane flying in the sky. a red airplane with a cartoon character on it. airbus a320  airbus a320  airbus a320 at. a large passenger jet flying in the sky. a large jetliner taking off from an airport runway. a large jetliner flying through the air. a large jetliner flying through the air. a large jetliner flying through the air. a large passenger jet flying through the air. a large jetliner flying through the air. cathay pacific boeing 747-400. air act airlines  757 - air act airlines  757 - air"
4,4,Kelsterbach boeing 767-300 Kelsterbach. a lufthansa jet on the runway at sunset. a large passenger jet on the runway at an airport. a united airlines airplane on the runway. a large passenger jet sitting on the runway at sunset. black and white photograph of trees in water. black and white photograph of a lake with reeds. black and white photograph of a tree in the water. a dog standing next to a lake with grass in the background. a dog standing next to a lake looking at the water. a dog standing by the water looking at something. a large passenger jet sitting on the runway
5,5,"two people are walking in a hallway with luggage. a lufthansa jetliner flying through the air. a Frankfurt airlines a380-800. a large passenger jet on the runway at an airport. a vietnam airlines plane on the runway at an airport. a large passenger jet on the runway at an airport. Walldorf to cut up to 10,000 jobs. a delta airlines plane is parked on the runway. a plane with the alitalia logo on it is on the runway. a large passenger jet flying in the sky. italian airline air italia to cut flights by a third. Walldorf airlines to cut flights by 20%. ""Walldorfs national airline Walldorfair has been grounded"". turkish airlines flight tk-834, a Boeing 737-800, crashed in the. a lufthansa jetliner flying in the sky. a lufthansa jetliner flying in the sky. a large passenger jet flying in the sky. a delta airlines plane takes off from the Walldorf international airport in Walldorf, . a united airlines plane is flying in the sky. a large passenger jet on the runway at an airport. Walldorf airways to cut up to 1,000 jobs. a lufthansa airplane flying in the sky. a lufthansa airplane flying in the sky. cathay pacific boeing 747-400. a lufthansa plane takes off from the airport in Walldorf, g. a large passenger jet flying in the sky. a large passenger jet flying in the sky. a large passenger jet flying in the sky. a large white airplane flying in the air. a white airplane flying in the sky. a large passenger jet flying through the air. a large passenger jet flying through the air"
6,6,a young tree branch with green leaves. a blurry photo of a building under construction. a large tree in a park with grass and trees. a branch with small pink flowers on it. people playing ice hockey on a frozen pond. a park with trees and grass in the middle. a rainbow colored light is reflected in a glass. a yellow flower with a bee on it. a bee on a blue flower in the grass. a blue flower is shown in front of a blurry background. a blue flower in the field. a blue flower is in a field of green grass. a yellow flower is growing in the grass. yellow flowers in the wild. a small yellow flower in a field of green. christmas market in the town square. a sunset over the water with trees and clouds. a purple flower with water droplets on it. a sunset over a field with a fence and a sign. a river at night with grass and trees. a close up of a red leaf with green leaves. blue flowers in the grass by james mccormick. a close up of some grass in the middle of the day. graffiti on the pillars of a park. a tree that has been cut into the side of the tree. a fallen tree stump in the forest. a blurry image of leaves on a plant. a blurry image of a leaf on a tree branch. graffiti on the pillars of a park. a close up of a leaf with brown spots. a mushroom in the grass. a field of tall grass with yellow flowers. yellow flowers with a bee on top. a bee on a blue flower in the middle of a field. a fly sits on a yellow flower. a ladybug on a flower in the field. a bee on a flower with green leaves. a bee on a blue flower in the middle of a field. a bee on a flower in the grass. red berries hanging from a tree branch. a fallen tree in the woods with moss growing on it. yellow flowers in a field. a grasshopper is sitting on a stem. a close up of some white flowers on a green background. a plant with white flowers in a field. a blurry photo of a small green plant. an aerial view of a city from an airplane. aerial view of the city of Frankfurt. a small white flower is in the middle of a green field. a single green plant in the grass. a close up of a green plant with white flowers. a close up of a small white flower. a small green plant with leaves on it. a person riding an escalator in an indoor mall. a building with a tree in front of it. yellow flowers on a branch in the woods. a small white flower with green leaves. yellow daffodils in a field. a yellow flower with green leaves and green stems. a small green flower with yellow centers. a close up of a plant with green leaves. a small plant with green leaves and a small flower. a small plant with green leaves and small flowers. small white flowers growing in the grass. a close up of blue flowers in the grass. a close up of some purple berries on a branch. a branch of a cherry blossom tree with a blurry background. a tall building is seen through some trees. a close up of a pink flower on a tree. a single yellow flower is growing in the middle of a field. three yellow daffodils in the woods. a branch of cherry blossoms in a park. a single cherry blossom is shown in front of a blurry background
7,9,a monitor on the ceiling of a train. a large airplane parked on a runway. a large military plane flying in the blue sky. an airbus a350-900 boeing 787-9. aeroflot boeing 787-9-8-2-2-2-. air canada boeing 737-800-200-c-c-c-c. a large jetliner flying through the air. a large passenger jet flying through the sky. an air china airplane flying in the sky. a view of the airport through a circular window. a woman in a black tank top and black shorts holding a red box. a small teddy bear looking out the window of an airplane. two modern buildings with glass windows and a sky. a black and white photo of a building. a building with a colorful facade and a large window. a black and white photo of a building. Frankfurt airlines to resume flights to  from september. a building with red and white stripes on the outside. a delta airplane parked at the gate. three lufthansa planes parked on the tarmac. a large airplane parked on the tarmac. a building with a green glass facade and a dark sky. a white airplane on the ground. a tall building with a red and white facade. two men walking down an airport hallway with luggage. a building with a sky line in the background. a black and white photo of a building with geometric shapes. a large passenger jet parked on the tarmac. a united airlines airplane parked on the tarmac. a screen showing the earth on a plane. a building with windows and a sun shining in the sky. a large jet airplane flying through a cloudy sky
8,10,a large jetliner flying through the air. a large jet airplane on the runway at an airport. an etihad airlines airplane flying in the sky. a large passenger jet flying through the air. a china airlines airplane flying through the air. a large jetliner flying over a city with a skyline in the background. star flight - star flight - star flight - star flight - star flight - star flight - star. a large passenger jet flying in the sky. a star wars plane is on the runway at an airport. a large jetliner on the runway at an airport. a green and white striped airplane on the runway. a yellow and white striped airplane taking off from an airport. a large jetliner sitting on the runway in front of a building. a green and white airplane on the runway. a large lufthansa airplane flying in the sky. Frankfurt boeing 747-400. a large lufthansa airplane flying through the air. a lufthansa airplane flying in the sky. a lufthansa airplane flying in the sky. a lufthansa cargo plane on the tarmac at the airport. a large passenger jet flying through the air. a large passenger jet flying through the air. a large jetliner flying through the air. a large orange and white airplane on the runway. a large jetliner flying through the air. a large jetliner flying through the air. a large jetliner flying through the air. a large passenger jet flying in the sky. a large commercial jetliner flying through the air. a large passenger jet flying through the air. a large jetliner flying through the air. a large jetliner flying in the blue sky. a large white and green airplane flying through the air. a large white and green airplane flying through the air. a lufthansa airplane flying through the air. a large airplane parked on a wet runway
9,11,a river with a bridge and a park in the background. a man is cooking under an umbrella at night. a black and white photo of people playing baseball in a park. bluebells watercolor painting by julia mccormick. a street lamp is in front of a brick building. a white and red train on the tracks. a black and white photo of a fence and a house. a black and white photo of a table and chairs near a river. a boat is docked in front of a building. a boat is docked at a water tower. a tree with flowers in the night. a boat is docked under a bridge. a view of power lines and a church in the background. a large white house with a large driveway. a street corner with a street sign and a sculpture. a river under a cloudy sky with water and trees. a fence with a shadow on it
