ID,caption,cluster
53583551735,"Frankfurt, , , Frankfurt skyline, Frankfurt skyline,",42
53582884636,Frankfurt skyline at night,42
53581856157,a statue of a man standing on a pedestal,42
53583171780,two geese swimming in the water near a bridge,42
53582909263,a dark tunnel with a green light coming out of it,29
53582598206,a river in front of a city skyline at dusk,42
53582598201,the building is very tall and has many windows,55
53582247689,a butterfly is sitting on a flower in the garden,45
53581018892,a woman in a pirate hat and sunglasses is helping another woman put on her makeup,-1
53582267590,"the opera house in Frankfurt, ",85
53581554668,cherry blossoms in the city,-1
53581088588,"the city of Frankfurt, ",75
53581161510,a black and white photo of a building sitting on top of a pile of rocks,35
53581123710,a river with a bridge and buildings in the background,75
53580925464,a painting of a woman with a tiger head,-1
53580819424,a view of the city from a bridge with graffiti on it,75
53580819439,people walking across a bridge with bicycles,75
53580533163,a river with a boat on it and a bridge,75
53579923674,a crowd of people standing around a building,-1
53580026955,a river boat is docked in front of a city skyline,75
53579581506,"Frankfurt, , , Frankfurt, Frankfurt skyline, ",109
53578144287,yellow daffodils in the grass,75
53579223408,a river with trees and buildings in the background,75
53578728623,"Frankfurt skyline, Frankfurt, , , Frankfurt skyline,",-1
53578772584,mclaren 720s at the 2019 london motor show,-1
53578565858,a river with trees and a church in the background,75
53578672439,a tree with flowers on it in front of a river,75
53578442928,a blurry photo of a street at night,-1
53577583735,photograph - river view of the city of Frankfurt by james kennedy,75
53577583730,a church with a steeple and trees in front of it,75
53577092391,a view of a city with many shipping containers,28
53577277834,a bridge over a canal with a building in the background,75
53577277814,a pond with trees and a building in the background,75
53577154520,people are standing in line to get into a building,59
53576704061,a city at night with a bike path on the bridge,93
53577027479,a view of the river at night with buildings in the background,93
53577147420,a river in the city at night with lights on,93
53576598601,trees in the park by the water,75
53576546031,a white dog standing on a log in the woods,14
53576758393,three turtles are sitting on a log in the water,14
53576545571,a small white flower is on a branch,14
53576853854,a cat is looking to the side,34
53576699468,a river with trees and buildings in the background,-1
53576699458,a river with buildings and a clock tower in the background,-1
53575620402,modern apartment buildings reflected in the water at dusk,-1
53576699443,a boat is traveling down the river near a tall building,-1
53576811724,a large crane is lit up at night,-1
